Publication Year,Average Citations per Paper
2004,6.545454545454546
2007,8.181818181818182
2008,4.65
2009,2.857142857142857
2010,1.8709677419354838
2011,3.942857142857143
2012,2.1666666666666665
2013,2.3529411764705883
2014,1.1666666666666667
2015,1.56
2016,2.9545454545454546
2017,1.1538461538461537
2018,4.115384615384615
2019,5.894736842105263
2020,2.8285714285714287
2021,2.7857142857142856
2022,2.4210526315789473
2023,2.1818181818181817
2024,0.8421052631578947
2025,0.9230769230769231
2026,0.03571428571428571
