Node ID,Era,Topic Index,Display Label,GenAI Name,Document Count,Top Keywords
E1_T1,2004-2012,1,2004-2012: Software Engineering,Software Engineering,63,"data, software, computer, engineering, language, business, web, process, science, programming, image, model, graphics, system, modeling"
E1_T2,2004-2012,2,2004-2012: Interdisciplinary Computer Science,Interdisciplinary Computer Science,47,"sistemas, modelo, trabalho, humanities, algoritmos, abordagem, philosophy, imagens, redes, desenvolvimento, desempenho, physics, forma, resultados, análise"
E1_T3,2004-2012,3,2004-2012: Academic Computing Publishing,Academic Computing Publishing,11,"revista, informática, rita, aplicada, teórica, revisores, artigos, editorial, computação, edição, editores, número, qualidade, corpo, ano"
E2_T1,2013-2018,1,2013-2018: Computational Agent Systems,Computational Agent Systems,59,"dados, agentes, sistemas, philosophy, humanities, sistema, algoritmos, algoritmo, ambiente, software, apresenta, resultados, abordagem, desenvolvimento, trabalho"
E2_T2,2013-2018,2,2013-2018: Algorithms and Data,Algorithms and Data,48,"programming, data, problem, computer, language, science, algorithm, system, graph, machine, algorithms, image, type, learning, techniques"
E2_T3,2013-2018,3,2013-2018: Medical Image Processing,Medical Image Processing,25,"imagens, detecção, método, leucócitos, técnica, diagnóstico, técnicas, sinais, automática, características, análise, utilizando, padrões, algoritmo, através"
E3_T1,2019-2024,1,2019-2024: Machine Learning Architectures,Machine Learning Architectures,75,"algorithm, neural, data, learning, machine, artificial, convolutional, algorithms, network, language, accuracy, used, intelligence, programming, information"
E3_T2,2019-2024,2,2019-2024: Business Process Mining,Business Process Mining,11,"process, business, management, activities, model, conceptual, framework, operational, mining, processes, knowledge, engineering, context, modeling, research"
E3_T3,2019-2024,3,2019-2024: Cloud Infrastructure Computing,Cloud Infrastructure Computing,31,"cloud, energy, computing, availability, security, consumption, system, service, virtual, fuzzy, performance, engineering, control, center, containers"
E4_T1,2025-2026,1,2025-2026: Computer Vision Systems,Computer Vision Systems,74,"data, computer, learning, detection, neural, models, network, image, vision, images, classification, convolutional, deep, science, feature"
E4_T2,2025-2026,2,2025-2026: Medical Lesion Diagnosis,Medical Lesion Diagnosis,16,"cancer, skin, breast, learning, lesion, federated, classification, diagnosis, ensemble, centralized, early, images, privacy, medicine, diagnostic"
E4_T3,2025-2026,3,2025-2026: Deep Semantic Segmentation,Deep Semantic Segmentation,18,"segmentation, deep, learning, semantic, iou, dice, images, unet, satellite, translation, pipeline, pruning, models, loss, dataset"
