Author,Number of Articles,Total Citations,Average Citations,h-index,g-index
Aldo von Wangenheim,4,81,20.25,2,4
Karla Aparecida Justen,1,76,76.0,1,1
Thiago Rateke,1,76,76.0,1,1
Ivan Torres Pisa,3,75,25.0,2,3
Frederico Molina Cohrs,1,70,70.0,1,1
Heimar de Fátima Marín,1,70,70.0,1,1
Josceli Maria Tenório,1,70,70.0,1,1
Vera Lúcia Sdepanian,1,70,70.0,1,1
André C. P. L. F. de Carvalho,2,59,29.5,2,2
Ana Carolina Lorena,2,59,29.5,2,2
Thiago Alexandre Salgueiro Pardo,3,59,19.666666666666668,2,3
Maria das Graças Volpe Nunes,1,50,50.0,1,1
Rodrigo Luis de Souza da Silva,3,44,14.666666666666666,2,3
Rian Dutra da Cunha,2,42,21.0,2,2
Frâncila Weidt Neiva,2,42,21.0,2,2
Siome Goldenstein,3,41,13.666666666666666,2,3
Gladimir V. G. Baranoski,2,40,20.0,2,2
Aravind Krishnaswamy,1,38,38.0,1,1
Marílton Sanchotene de Aguiar,2,34,17.0,2,2
Egberto Pereira,1,26,26.0,1,1
Camila Martins Saporetti,1,26,26.0,1,1
Luciana Foss,4,26,6.5,2,4
Renata Reiser,3,26,8.666666666666666,2,3
Tales Lima Fonseca,1,26,26.0,1,1
Leonardo Goliatt,2,26,13.0,1,2
Grasiele Regina Duarte,1,26,26.0,1,1
Simone André da Costa Cavalheiro,4,26,6.5,2,4
Mônica Marques da Cunha,1,23,23.0,1,1
Yuri Weisshahn,1,23,23.0,1,1
Adriana Bordini,1,23,23.0,1,1
Christiano Avila,1,23,23.0,1,1
Alana Marques de Morais,1,21,21.0,1,1
Ana Maria Gondim Valença,1,21,21.0,1,1
Anderson Rocha,1,21,21.0,1,1
Stringhini Stringhini,1,21,21.0,1,1
Maurício Marengoni,1,21,21.0,1,1
Liliane dos Santos Machado,1,21,21.0,1,1
Henrique Luiz Cukierman,1,20,20.0,1,1
Cássio Adriano Nunes Teixeira,1,20,20.0,1,1
Rafael Prikladnicki,1,20,20.0,1,1
Flávio Luiz Schiavoni,2,19,9.5,1,2
Luan Luiz Gonçalves,1,19,19.0,1,1
Giovani Baratto,1,17,17.0,1,1
Thiago L. T. da Silveira,1,17,17.0,1,1
Wesley K. G. Assunção,1,17,17.0,1,1
Thelma Elita Colanzi,1,17,17.0,1,1
Sílvia Regina Vergílio,2,17,8.5,1,2
Eduardo Tiago Braun,1,17,17.0,1,1
Cesar Ramos Rodrigues,1,17,17.0,1,1
Aurora Pozo,1,17,17.0,1,1
Alice Kozakevicius,3,17,5.666666666666667,1,3
Celso A. A. Kaestner,1,16,16.0,1,1
Sarajane Marques Peres,2,16,8.0,2,2
Alane M. de Lima,1,15,15.0,1,1
Renato Carmo,1,15,15.0,1,1
Lisane Brisolara,2,15,7.5,2,2
João Fernando Mari,8,14,1.75,3,3
Júlio César Duarte,4,14,3.5,2,3
Giovani Farias,2,14,7.0,2,2
Sandra M. Venske,3,13,4.333333333333333,1,3
Abilio G. Parada,1,13,13.0,1,1
Milena Rota Sena Marques,1,13,13.0,1,1
Lucas Siqueira,1,12,12.0,1,1
André Pinz Borges,2,12,6.0,1,2
Diana F. Adamatti,2,12,6.0,1,2
