DOI,Title,Author,OpenAlex ID,Abstract,Article References,Times Cited,Publication Year,Publisher,Keywords,Affiliations,Country,Document Type,Language,Open Access,Funding,Concepts,Journal,Location,Address,Volume,Issue,Pages,ISSN,Source File
10.22456/2175-2745.10082,Geração de Testes de Desempenho e Estresse a partir de Testes Funcionais,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.100968,A Mechanized Proof of a Textbook Type Unification Algorithm,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.102061,A New Artificial Immune System Based on Continuous Learning for Pattern Recognition,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.103182,Low-Latency f0 Estimation for the Finger Plucked Electric Bass Guitar Using the Absolute Difference Function,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.10385,TSML: A XML-based Format for Exchange of Training Samples for Pattern Recognition in Remote Sensing Images,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.104342,Creating Digital Musical Instruments with libmosaic-sound and Mosaicode,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.105893,Overload Control in a Token Player for a Fuzzy Workflow Management System,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.106277,An operational support approach for Mining Unstructured Business Processes,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.106794,Cloud infrastructure for HPC investment analysis,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.106828,Business Process Models in the Context of Predictive Process Monitoring,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.106891,Integrating Exploitative and Explorative Thinking in Business Process Analysis: A Conceptual Model and Method,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107021,A Model for Predicting Music Popularity on Streaming Platforms,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107041,An Agent-Based Model for Simulating Irrigated Agriculture in the Samambaia Basin in Goiás,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107128,Hash Tables for a Digital Lexicon,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107149,System for Identifying Pests and Diseases in Soybean Crop through Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107154,Centralized Algorithms Based on Clustering with Self-tuning of Parameters for Cooperative Target Observation,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107176,Dimensioning the relationship between availability and data center energy flow metrics,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107202,Iracema: a Python library for audio content analysis,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107292,Challenges and Perspectives on Real-time Singing Voice Synthesis,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107478,Optimization Inspired on Herd Immunity Applied to Non-Hierarchical Grouping of Objects,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107748,Co-creating Service-Dominant Business Artifacts with Action Design Research: Towards Ambidextrous Business Process Management,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.107964,The Explainable Business Process (XBP) - An Exploratory Research,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.108126,Classification Based on Rules for the Study of Cotton Productivity in the State of Mato Grosso,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.110015,Using the Myers-Briggs Type Indicator (MBTI) for Modeling Multiagent Systems,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.110111,A Novel Approach to the Measurement of Bourdieusian Social Capital within Institutional Pages and Profiles,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.11066,Implantação de Medição no Processo de Desenvolvimento de Software – Relato de Experiência e Lições Aprendidas,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
10.22456/2175-2745.110818,An Adaptive Trust Model Based on Fuzzy Logic,,,,,,,,,,,,,,,,,,,,,,,articles-RITA-20260617-dointext.csv
