Status,Identified_Countries,Title,Affiliations,Address,Country,Location,Author,Publication Year
✅ Identified,Brazil,Geração de Testes de Desempenho e Estresse a partir de Testes Funcionais,Universidade Federal de Minas Gerais; Universidade Federal do Piauí,UNIVERSIDADE FEDERAL DE MINAS GERAIS; UNIVERSIDADE FEDERAL DO PIAUÍ,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Ismayle S. Santos, Pedro A. Santos Neto, Rodolfo F. Resende",2011.0
✅ Identified,Brazil,A Mechanized Proof of a Textbook Type Unification Algorithm,Universidade Federal de Ouro Preto; Universidade Federal de Pelotas,"Universidade Federal de Ouro Preto, Ouro Preto, Minas Gerais, Brazil; Universidade Federal de Pelotas, Pelotas, Rio Grande do Sul, Brazil",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"André Rauber Du Bois, Rodrigo Ribeiro, Maycon Amaro",2020.0
✅ Identified,Brazil,A New Artificial Immune System Based on Continuous Learning for Pattern Recognition,"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso; Universidade Estadual Paulista (Unesp); Universidade do Estado de Mato Grosso","Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso (IFMT), Campus Avançado Tangará da Serra; State
University of Mato Grosso (UNEMAT), Campus of Tangará da Serra, Rodovia MT-358, Km 07, Jardim Aeroporto, 78300000 - Tangará
da Serra, MT - Brasil; Universidade Estadual Paulista ""Julio de Mesquita Filho""(UNESP)",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Simone F. Souza, Fernando Parra dos Anjos Lima, Fábio Roberto Chavarette",2020.0
✅ Identified,Brazil,Low-Latency f0 Estimation for the Finger Plucked Electric Bass Guitar Using the Absolute Difference Function,Universidade Estadual de Campinas (UNICAMP),"School of Electric and Computer Engineering (FEEC), University of Campinas, Brazil; School of Electrical and Computer Engineering, University of Campinas",BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Christhian Henrique Gomes Fonseca, Tiago Fernandes Tavares",2020.0
✅ Identified,Brazil,TSML: A XML-based Format for Exchange of Training Samples for Pattern Recognition in Remote Sensing Images,Instituto Nacional de Pesquisas Espaciais,Instituto Nacional de Pesquisas Espaciais - INPE,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Marinalva Dias Soares, Luciano Vieira Dutra, Nandamudi L. Vijaykumar",2011.0
✅ Identified,Brazil,Creating Digital Musical Instruments with libmosaic-sound and Mosaicode,Federal University of São João del-Rei,Federal University of São João del-Rei,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Luan Luiz Gonçalves, Flávio Luiz Schiavoni",2020.0
✅ Identified,Brazil,Overload Control in a Token Player for a Fuzzy Workflow Management System,Universidade Federal de Jataí,Universidade Federal de Jataí,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Felipe Nedopetalski, Joslaine Cristina Jeske de Freitas",2021.0
✅ Identified,"Morocco, Brazil, United States",An operational support approach for Mining Unstructured Business Processes,Associated Research (United States); Centre National pour la Recherche Scientifique et Technique (CNRST); Mohammed V University,"LRIT associated unit to CNRST (URAC 29), Faculty of Sciences, Mohammed V University in Rabat, Morocco; LRIT associated unit to CNRST (URAC 29), Rabat IT Center, Faculty of Sciences, 
Mohammed V University in Rabat, Morocco; LRIT associated unit to CNRST (URAC 29), Rabat IT Center, Faculty of Sciences, 
Mohammed V University in Rabat, Morocco; SI2M Laboratory and LRIT associated unit to CNRST, Rabat",MA; US,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Zineb Lamghari, Maryam Radgui, Rajaa Saidi, Moulay Driss Rahmani",2021.0
✅ Identified,Brazil,Cloud infrastructure for HPC investment analysis,Universidade Federal de Pelotas,Universidade Federal de Pelotas,BR,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,"Maicon Ança dos Santos, Gerson Geraldo H. Cavalheiro",2020.0
✅ Identified,Bulgaria,Business Process Models in the Context of Predictive Process Monitoring,Technical University of Sofia,"Computer Science , Technical University of Sofia , Bulgaria; Computer Science, Technical University of Sofia, Bulgaria",BG,Revista de Informática Teórica e Aplicada - Federal University of Rio Grande do Sul,Florian Spree,2021.0
