Title,Publication Year,Times Cited,Author
Creating Digital Musical Instruments with libmosaic-sound and Mosaicode,2020.0,19.0,"Luan Luiz Gonçalves, Flávio Luiz Schiavoni"
Integrating Embedded Multiagent Systems with Urban Simulation Tools and IoT Applications,2022.0,11.0,"Lucas Fernando Souza de Castro, Fabian César Pereira Brandão Manoel, Vinicius Souza de Jesus, Carlos Eduardo Pantoja, André Pinz Borges, Gleifer Vaz Alves"
Ab Initio Protein Structure Prediction Using Evolutionary Approach: A Survey,2021.0,12.0,"Lucas Siqueira, Sandra M. Venske"
Tutorial: Introdução à Visão Computacional usando OpenCV,2010.0,21.0,"Maurício Marengoni, Stringhini Stringhini"
Desenvolvimento e Avaliação de um Protocolo Eletrônico para Atendimento e Monitoramento do Paciente com Doença Celíaca,2011.0,70.0,"Josceli Maria Tenório, Frederico Molina Cohrs, Vera Lúcia Sdepanian, Ivan Torres Pisa, Heimar de Fátima Marín"
Planejamento de um Serious Games Voltado para Saúde Bucal em Bebês,2011.0,21.0,"Alana Marques de Morais, Liliane dos Santos Machado, Ana Maria Gondim Valença"
Generating Integration Test Orders for Aspect Oriented Software with Multi-objective Algorithms,2013.0,17.0,"Wesley K. G. Assunção, Thelma Elita Colanzi, Sílvia Regina Vergílio, Aurora Pozo"
Support Vector Machines and Kernel Functions for Text Processing,2013.0,16.0,Celso A. A. Kaestner
Automating mobile application development: UML-based code generation for Android and Windows Phone,2015.0,13.0,"Abilio G. Parada, Milena Rota Sena Marques, Lisane Brisolara"
Uma Introdução às Support Vector Machines,2007.0,56.0,"Ana Carolina Lorena, André C. P. L. F. de Carvalho"
Processos de Decisão de Markov: um tutorial,2007.0,11.0,"Jerônimo Pellegrini, Jacques Wainer"
Um Olhar Sociotécnico sobre a Engenharia de Software,2007.0,20.0,"Henrique Luiz Cukierman, Cássio Adriano Nunes Teixeira, Rafael Prikladnicki"
An Introduction to Light Interaction with Human Skin,2004.0,38.0,"Gladimir V. G. Baranoski, Aravind Krishnaswamy"
A Gentle Introduction to Predictive Filters,2004.0,20.0,Siome Goldenstein
Steganography and Steganalysis in Digital Multimedia: Hype or Hallelujah?,2008.0,21.0,"Anderson Rocha, Siome Goldenstein"
Computação na Educação Básica no Brasil: o Estado da Arte,2016.0,23.0,"Adriana Bordini, Christiano Avila, Yuri Weisshahn, Mônica Marques da Cunha, Simone André da Costa Cavalheiro, Luciana Foss, Marílton Sanchotene de Aguiar, Renata Reiser"
On the Development and Evaluation of a Brazilian Portuguese Discourse Parser,2008.0,50.0,"Thiago Alexandre Salgueiro Pardo, Maria das Graças Volpe Nunes"
Sleep Stages Classification Using Spectral Based Statistical Moments as Features,2018.0,17.0,"Eduardo Tiago Braun, Alice Kozakevicius, Thiago L. T. da Silveira, Cesar Ramos Rodrigues, Giovani Baratto"
Virtual Reality as a Support Tool for the Treatment of People with Intellectual and Multiple Disabilities: A Systematic Literature Review,2018.0,36.0,"Rian Dutra da Cunha, Frâncila Weidt Neiva, Rodrigo Luis de Souza da Silva"
Extreme Learning Machine combined with a Differential Evolution algorithm for lithology identification,2018.0,26.0,"Camila Martins Saporetti, Grasiele Regina Duarte, Tales Lima Fonseca, Leonardo Goliatt, Egberto Pereira"
Exact Algorithms for the Graph Coloring Problem,2018.0,15.0,"Alane M. de Lima, Renato Carmo"
Road Surface Classification with Images Captured From Low-cost Camera - Road Traversing Knowledge (RTK) Dataset,2019.0,76.0,"Thiago Rateke, Karla Aparecida Justen, Aldo von Wangenheim"
Water Resources Analysis: An Approach based on Agent-Based Modeling,2020.0,11.0,"Giovani Farias, Bruna Leitzke, Míriam Blank Born, Marílton Sanchotene de Aguiar, Diana F. Adamatti"
