DOI,Title,Author,OpenAlex ID,Abstract,Article References,Times Cited,Publication Year,Publisher,Keywords,Affiliations,Country,Document Type,Language,Open Access,Funding,Concepts,Source File,unified_topic,topic_confidence,secondary_topic
10.22456/2175-2745.10082,Geração de Testes de Desempenho e Estresse a partir de Testes Funcionais,"Ismayle S. Santos, Pedro A. Santos Neto, Rodolfo F. Resende",W2259729193,"Apesar do Teste de Software estar relacionado à garantia de qualidade, ele demanda tempo e recursos, e por isso acaba por não ser realizada em parte dos projetos executados. No contexto das empresas que sempre o realizam, percebe-se que o teste funcional cresce em utilização e que o teste de desempenho e estresse ainda é pouco executado, mesmo diante do aumento dos sistemas acessíveis via Web, em que esses testes são considerados essenciais. Neste artigo é proposto um método e sua ferramenta de apoio para a geração de testes de desempenho e estresse de sistemas Web a partir de testes funcionais, na tentativa de popularizar o teste para esses requisitos não-funcionais. Apresenta-se também um estudo experimental que concluiu que o uso do método e da ferramenta pode gerar ganhos em termo de redução de esforço para a geração desses testes.",W1559108993; W1978687257; W1992602600; W2035268221; W2041838121; W2130583432; W2139099781; W2144086695; W2163931728; W2989943115; W3010856131; W3186762111; W3186934134; W4212924738; W4255097898; W4399452770; W6679348597,0.0,2011.0,Federal University of Rio Grande do Sul,Humanities; Psychology; Philosophy,Universidade Federal de Minas Gerais; Universidade Federal do Piauí,BR,Article,PT,True,,Humanities; Psychology; Philosophy,articles-RITA-20260617-dointext.csv,0,1.0,
10.22456/2175-2745.100968,A Mechanized Proof of a Textbook Type Unification Algorithm,"André Rauber Du Bois, Rodrigo Ribeiro, Maycon Amaro",W3036964893,"Unification is the core of type inference algorithms for modern functional programming languages, like Haskell and SML. As a first step towards a formalization of a type inference algorithm for such programming languages, we present a formalization in Coq of a type unification algorithm that follows classic algorithms presented in programming language textbooks. We also report on the use of such formalization to build a correct type inference algorithm for the simply typed λ-calculus.",W95934751; W606696939; W1491324663; W1503170941; W1522873391; W1535521146; W1537343097; W1553511155; W1556536463; W1557561422; W1558175043; W1590419349; W1590842522; W1591679564; W1714698337; W1829244603; W1921642287; W1969204136; W1973876376; W1986121459; W2023035194; W2025431400; W2035324774; W2091657052; W2110685049; W2166822586; W2398885444; W2754763406; W2886069053; W2911969905; W2913582715; W2952996192; W3145594871; W3215477093; W4210285581; W4239999910; W4244488020; W4255921169; W6656791228,0.0,2020.0,Federal University of Rio Grande do Sul,Haskell; Unification; Type inference; Computer science; Functional programming; Programming language; Type (biology); Algorithm; Dependent type; Inference; Generic programming; Type theory; Lambda calculus; Artificial intelligence,Universidade Federal de Ouro Preto; Universidade Federal de Pelotas,BR,Article,EN,True,,Haskell; Unification; Type inference; Computer science; Functional programming; Programming language; Type (biology); Algorithm; Dependent type; Inference; Generic programming; Type theory; Lambda calculus; Artificial intelligence; Ecology; Biology,articles-RITA-20260617-dointext.csv,1,1.0,
10.22456/2175-2745.102061,A New Artificial Immune System Based on Continuous Learning for Pattern Recognition,"Simone F. Souza, Fernando Parra dos Anjos Lima, Fábio Roberto Chavarette",W3117651932,"This paper presents a novel approach for pattern recognition based on continuous training inspired by the biological immune system operation. The main objective of this paper is to present a method capable of continually learn, i.e., being able to address new types of patterns without the need to restart the training process (artificial immune system with incremental learning). It is a useful method for solving problems involving a permanent knowledge extraction, e.g., 3D facial expression recognition, whose quality of the solutions is strongly dependent on a continuous training process. In this context, two artificial immune algorithms are employed: (1) the negative selection algorithm, which is responsible for the pattern recognition process and (2) the clonal selection algorithm, which is responsible for the learning process. The main application of this method is in assisting in decision-making on problems related to pattern recognition process. To evaluate and validate the efficiency of this method, the system has been tested on handwritten character recognition, which is a classic problem in the literature. The results show efficiency, accuracy and robustness of the proposed methodology.",W11219134; W192749064; W1551186452; W1850881749; W1999625849; W2002011878; W2024971643; W2083168386; W2106808671; W2109845050; W2116683971; W2121680631; W2150336375; W2400267228; W3121147667; W4237164190,3.0,2020.0,Federal University of Rio Grande do Sul,Computer science; Artificial intelligence; Artificial immune system; Robustness (evolution); Machine learning; Pattern recognition (psychology); Process (computing); Immune recognition; Clonal selection; Context (archaeology); Immune system,"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso; Universidade Estadual Paulista (Unesp); Universidade do Estado de Mato Grosso",BR,Article,EN,True,,Computer science; Artificial intelligence; Artificial immune system; Robustness (evolution); Machine learning; Pattern recognition (psychology); Process (computing); Immune recognition; Clonal selection; Context (archaeology); Immune system; Chemistry; Immunology; Paleontology; Operating system; Biochemistry; Gene; Biology,articles-RITA-20260617-dointext.csv,3,0.8,
10.22456/2175-2745.103182,Low-Latency f0 Estimation for the Finger Plucked Electric Bass Guitar Using the Absolute Difference Function,"Christhian Henrique Gomes Fonseca, Tiago Fernandes Tavares",W3115031847,"Audio-to-MIDI conversion can be used to allow digital musical control through an analog instrument. Audio-to-MIDI converters rely on fundamental frequency estimators that are usually restricted to a minimum delay of two fundamental periods. This delay is perceptible for the case of bass notes. In this dissertation, we propose a low-latency fundamental frequency estimation method that relies on specific characteristics of the electric bass guitar. By means of physical modeling and signal acquisition, we show that the assumptions of this method are based on the generalization of all electric basses. We evaluated our method in a dataset with musical notes played by diverse bassists. Results show that our method outperforms the Yin method in low-latency settings, which indicates its suitability for low-latency audio-to-MIDI conversion of the electric bass sound.",W132858152; W220935706; W954761223; W1515658959; W1525289680; W1728219059; W2028078738; W2061360790; W2138039466; W2155208345; W2294671988; W2478884216; W2622480356; W2920257298; W3031376202; W3209254240; W4285528093,0.0,2020.0,Federal University of Rio Grande do Sul,Bass (fish); MIDI; Guitar; Estimator; Computer science; Latency (audio); Speech recognition; Converters; Acoustics; Mathematics; Electrical engineering; Telecommunications; Engineering; Statistics; Physics,Universidade Estadual de Campinas (UNICAMP),BR,Article,EN,True,,Bass (fish); MIDI; Guitar; Estimator; Computer science; Latency (audio); Speech recognition; Converters; Acoustics; Mathematics; Electrical engineering; Telecommunications; Engineering; Statistics; Physics; Biology; Ecology; Operating system; Voltage,articles-RITA-20260617-dointext.csv,4,1.0,
10.22456/2175-2745.10385,TSML: A XML-based Format for Exchange of Training Samples for Pattern Recognition in Remote Sensing Images,"Marinalva Dias Soares, Luciano Vieira Dutra, Nandamudi L. Vijaykumar",W2236246952,"The availability of large and complex data sets has shifted the focus of pattern recognition towards developing techniques that can efficiently handle these types of data sets. For example, Multiple Classifier Systems claim their ability in reducing the error and complexity of classification by partitioning the data space and combining classifiers predictions. However, it is not an easy task to generate several partitions and moreover to use them in an efficient manner. Another difficult aspect is related to the exchange of training data in different formats among systems to combine classifiers of different and heterogeneous systems. This paper presents a model and structure of training samples based on XML (eXtensible Markup Language) to facilitate the partitioning and exchange among different image classification system. The main contribution is to apply the flexibility of XML that addresses interoperability and communication among heterogeneous systems in partitioning data sets as well as to facilitate interchange of such sets among image processing and pattern recognition systems.",W419168134; W1484315154; W1551957085; W1570448133; W1641780764; W1664954303; W1970285193; W1984441870; W2052438516; W2089564362; W2104469397; W2117481086; W2132549764; W2160063624; W2168809519; W2339847561; W3101436856; W3146003712; W4211019019; W4247666079; W4285719527; W4298266977; W4300543301; W4301514775,1.0,2011.0,Federal University of Rio Grande do Sul,Computer science; XML; Interoperability; Classifier (UML); Data exchange; Markup language; Data mining; XML framework; Focus (optics); Pattern recognition (psychology); Artificial intelligence; Machine learning; Database; World Wide Web,Instituto Nacional de Pesquisas Espaciais,BR,Article,EN,True,,Computer science; XML; Interoperability; Classifier (UML); Data exchange; Markup language; Data mining; XML framework; Focus (optics); Pattern recognition (psychology); Artificial intelligence; Machine learning; Database; World Wide Web; Optics; Physics,articles-RITA-20260617-dointext.csv,3,0.8,
10.22456/2175-2745.104342,Creating Digital Musical Instruments with libmosaic-sound and Mosaicode,"Luan Luiz Gonçalves, Flávio Luiz Schiavoni",W3113728755,"Music has been influenced by digital technology over the last few decades. With the computer and the Digital Musical Instruments, the musical composition could trespass the use of acoustic instruments demanding to musicians and composers a sort of computer programming skills for the development of musical applications. In order to simplify the development of musical applications several tools and musical programming languages arose bringing some facilities to lay-musicians on computer programming to use the computer to make music. This work presents the development of a Visual Programming Language (VPL) to develop DMI applications in the Mosaicode programming environment, simplifying sound design and making the creation of digital instruments more accessible to digital artists. It is also presented the implementation of libmosaic-sound library, which supported the VPL development, for the specific domain of Music Computing and DMI creation.",W151597252; W160509580; W1535383377; W1597789369; W2014596857; W2048859977; W2092187831; W2115458240; W2126353590; W2149237601; W2152742269; W2404738441; W2770281061; W2950257169; W2966093409; W3025147164; W3025875079; W4239244202; W4245109337; W6777907514,19.0,2020.0,Federal University of Rio Grande do Sul,Musical; Computer science; Computer music; Musical composition; New Interfaces for Musical Expression; Pop music automation; Digital audio; sort; Programming; Multimedia; Human–computer interaction; Programming language; Visual arts; Digital signal processing; Audio signal; Art; Computer hardware,Federal University of São João del-Rei,BR,Article,EN,True,,Musical; Computer science; Computer music; Musical composition; New Interfaces for Musical Expression; Pop music automation; Digital audio; sort; Programming; Multimedia; Human–computer interaction; Programming language; Visual arts; Digital signal processing; Audio signal; Art; Computer hardware; Information retrieval,articles-RITA-20260617-dointext.csv,4,0.5,1.0
10.22456/2175-2745.105893,Overload Control in a Token Player for a Fuzzy Workflow Management System,"Felipe Nedopetalski, Joslaine Cristina Jeske de Freitas",W3121627066,"The underlying proposal of this work is to control overload of a Token Player in a Fuzzy Workflow Management System. In order to accomplish this, possibility theory is used to measure how much the Token Player can be overloaded. The model used in this work is built using Colored Petri net and the simulation is made using CPN Tools. Finally, is possible to control overload of the Token Player in a Fuzzy Workflow Management System, nevertheless more time is spent to achieve the end of activities.",W118892424; W597016695; W1201716842; W1491743220; W1536779143; W1568573127; W1601487853; W1612581146; W2009577334; W2025469772; W2031337821; W2037146600; W2058208657; W2088842371; W2102077607; W2105854821; W2129466958; W2154023946; W2164015376; W2171745857; W2279000826; W2388220650; W2412853042; W2476146527; W2513969152; W2601883314; W2783072163; W2804845473; W2935931740; W3041019663; W3121627066; W4234204360; W6656688804; W6731747912; W7027040278; W7073606892,4.0,2021.0,Federal University of Rio Grande do Sul,Security token; Workflow; Computer science; Petri net; Workflow management system; Fuzzy logic; Control (management); Fuzzy control system; Distributed computing; Database; Computer network; Artificial intelligence,Universidade Federal de Jataí,BR,Article,EN,True,,Security token; Workflow; Computer science; Petri net; Workflow management system; Fuzzy logic; Control (management); Fuzzy control system; Distributed computing; Database; Computer network; Artificial intelligence,articles-RITA-20260617-dointext.csv,3,0.5,1.0
10.22456/2175-2745.106277,An operational support approach for Mining Unstructured Business Processes,"Zineb Lamghari, Maryam Radgui, Rajaa Saidi, Moulay Driss Rahmani",W3124744616,"The refined process mining framework contains a set of activities that use extracted information from event logs, discovered models and normative ones. Among these activities, we find those dealing with running events in a Structured Business Process (SBP) context, which are the Detect, the Predict and the Recommend activities. These three activities are nominated as an operational support system that aims at detecting deviations, predicting events and recommending actions. In this regard, operational support systems perform well on SBP while, it stills a challenging task for an Unstructured Business Process (UBP). This puts forward the difficulty of predicting events and recommending actions for UBP, because of its complex structure. In this context, simplification and structuring operations must be applied. Therefore, the intervention of other process mining activities is required for business process simplification and structuring. To this end, we present an operational support approach dealing with UBP, using the refined process mining framework activities.",W204310448; W777139125; W949909655; W1536788850; W1565132002; W1574146913; W1578876701; W1590403160; W1979021834; W1992412373; W2033696519; W2038057323; W2083135154; W2094385143; W2100115309; W2114600197; W2126083796; W2126844997; W2170917993; W2260944776; W2593991087; W2597223571; W2647359280; W2726677446; W2746780440; W2787818203; W2795103253; W2800976233; W2802358804; W2898711730; W2899487118; W2951033193; W2963218092; W2963798886; W2964300152; W2968675602; W2969679574; W3008836958; W3027172382; W3034333200; W3107118356; W4252892348; W4297687367; W6677312882; W6981839950; W7014694599; W7014822678,4.0,2021.0,Federal University of Rio Grande do Sul,Structuring; Process mining; Computer science; Process (computing); Context (archaeology); Business process; Task (project management); Process management; Set (abstract data type); Process modeling; Business process discovery; Event (particle physics); Normative; Business process management; Business process modeling; Data science; Risk analysis (engineering); Knowledge management; Data mining; Work in process; Operations management; Systems engineering; Business; Engineering,Associated Research (United States); Centre National pour la Recherche Scientifique et Technique (CNRST); Mohammed V University,MA; US,Article,EN,True,,Structuring; Process mining; Computer science; Process (computing); Context (archaeology); Business process; Task (project management); Process management; Set (abstract data type); Process modeling; Business process discovery; Event (particle physics); Normative; Business process management; Business process modeling; Data science; Risk analysis (engineering); Knowledge management; Data mining; Work in process; Operations management; Systems engineering; Business; Engineering; Epistemology; Physics; Biology; Programming language; Operating system; Paleontology; Quantum mechanics; Finance; Philosophy,articles-RITA-20260617-dointext.csv,3,0.8,
10.22456/2175-2745.106794,Cloud infrastructure for HPC investment analysis,"Maicon Ança dos Santos, Gerson Geraldo H. Cavalheiro",W3115453335,"With the consolidation of cloud computing technology, there is a growing interest in exploring it to support High Performance Computing (HPC). However, migrating such applications to public or private cloud environments brings some challenges, in particular, the cost in financing the migration process. In this paper, a literature review is presented with selected papers about analyzing cloud infrastructure investments. In particular, the selected papers analyse how investments impact applications. For discussion of related works, conditions for running HPC applications in the cloud are characterized.",W1539987097; W1953741985; W1971300800; W1983347733; W1998624030; W2027282226; W2050243183; W2119414246; W2151299342; W2154984673; W2243609156; W2275530856; W2318550784; W2322779352; W2331206060; W2515538372; W2579799105; W2589203456; W2608391592; W2739406658; W2750168540; W2766630095; W2785818495; W2791993075; W2913635021; W2945696838; W3035711112; W3115453335; W3122047047; W4232212361; W4235448192; W6700818579; W7062388768,5.0,2020.0,Federal University of Rio Grande do Sul,Cloud computing; Consolidation (business); Computer science; Supercomputer; Investment (military); Process (computing); Data science; Business; Operating system; Finance; Political science,Universidade Federal de Pelotas,BR,Article,EN,True,,Cloud computing; Consolidation (business); Computer science; Supercomputer; Investment (military); Process (computing); Data science; Business; Operating system; Finance; Political science; Law; Politics,articles-RITA-20260617-dointext.csv,3,1.0,
10.22456/2175-2745.106828,Business Process Models in the Context of Predictive Process Monitoring,Florian Spree,W3125685732,"Predictive process monitoring is a subject of growing interest in academic research. As a result, an increased number of papers on this topic have been published. Due to the high complexity in this research area a wide range of different experimental setups and methods have been applied which makes it very difficult to reliably compare research results. This paper's objective is to investigate how business process models and their characteristics are used during experimental setups and how they can contribute to academic research. First, a literature review is conducted to analyze and discuss the awareness of business process models in experimental setups. Secondly, the paper discusses identified research problems and proposes the concept of a web-based business process model metric suite and the idea of ranked metrics. Through a metric suite researchers and practitioners can automatically evaluate business process model characteristics in their future work. Further, a contextualization of metrics by introducing a ranking of characteristics can potentially indicate how the outcome of experimental setups will be. Hence, the paper's work demonstrates the importance of business process models and their characteristics in the context of predictive process monitoring and proposes the concept of a tool approach and ranking to reliably evaluate business process models characteristics.",W70378369; W115368157; W184106230; W650495921; W949909655; W1483741128; W1551356221; W1578876701; W1843425376; W1846981065; W1910838678; W1965243775; W1967734758; W1998640084; W2018671906; W2066938613; W2089758261; W2101238481; W2115223150; W2135895417; W2149444052; W2153224637; W2164463086; W2167985173; W2168894761; W2169450496; W2170489714; W2186592864; W2294509818; W2439076384; W2507389609; W2610829762; W2737745668; W2746780440; W2767387808; W2771484234; W2800976233; W2963798886; W2964300152; W3134151890; W4229646213; W4236395585; W6638786369; W6639014149; W6640094162; W6654789129; W6677191858; W6989826879; W7073751895,1.0,2021.0,Federal University of Rio Grande do Sul,Computer science; Business process management; Business process modeling; Contextualization; Process (computing); Business process; Metric (unit); Artifact-centric business process model; Business process discovery; Suite; Ranking (information retrieval); Process mining; Context (archaeology); Data science; Process modeling; Business Process Model and Notation; Data mining; Work in process; Process management; Machine learning; Engineering; Operations management,Technical University of Sofia,BG,Article,EN,True,,Computer science; Business process management; Business process modeling; Contextualization; Process (computing); Business process; Metric (unit); Artifact-centric business process model; Business process discovery; Suite; Ranking (information retrieval); Process mining; Context (archaeology); Data science; Process modeling; Business Process Model and Notation; Data mining; Work in process; Process management; Machine learning; Engineering; Operations management; Biology; Programming language; Interpretation (philosophy); Paleontology; History; Operating system; Archaeology,articles-RITA-20260617-dointext.csv,7,0.5,3.0
